Species,Locus,Stop
aeromonas_veronii_WP3-W19-ESBL-03,NZ_AP022040.1,8647
aeromonas_veronii_WP3-W19-ESBL-03,NZ_AP022041.1,4914
aeromonas_veronii_WP3-W19-ESBL-03,NZ_AP022042.1,3902
aeromonas_veronii_WP3-W19-ESBL-03,NZ_AP022043.1,2853
klebsiella_pneumoniae_1-GR-13,NZ_CP027042.1,5181054
klebsiella_pneumoniae_1-GR-13,NZ_CP027045.1,108821
klebsiella_pneumoniae_1-GR-13,NZ_CP027044.1,168841
klebsiella_pneumoniae_1-GR-13,NZ_CP027047.1,53213
klebsiella_pneumoniae_1-GR-13,NZ_CP027046.1,54704
klebsiella_pneumoniae_1-GR-13,NZ_CP027043.1,192000
salmonella_enterica_FORC-052,NZ_CP016754.1,4685525
escherichia_coli_EC17GD31,NZ_CP031293.1,4975536
escherichia_coli_EC17GD31,NZ_CP031295.1,244985
escherichia_coli_EC17GD31,NZ_CP031294.1,109943
escherichia_coli_EC17GD31,NZ_CP031296.1,59448
escherichia_coli_EC17GD31,NZ_CP031297.1,187954
cronobacter_sakazakii_C767,NZ_CP049147.1,4343831
cronobacter_sakazakii_C767,NZ_CP049149.1,107072
cronobacter_sakazakii_C767,NZ_CP049148.1,130302
klebsiella_pneumoniae_RJBSI76,NZ_CP068689.1,5405804
klebsiella_pneumoniae_RJBSI76,NZ_CP068690.1,302226
klebsiella_pneumoniae_RJBSI76,NZ_CP068691.1,206165
klebsiella_pneumoniae_RJBSI76,NZ_CP068692.1,184298
klebsiella_pneumoniae_RJBSI76,NZ_CP068693.1,10085
staphylococcus_aureus_MS4,NZ_CP009828.1,2709258
klebsiella_pneumoniae_KP18-2113,NZ_CP082029.1,5483688
klebsiella_pneumoniae_KP18-2113,NZ_CP082031.1,211837
klebsiella_pneumoniae_KP18-2113,NZ_CP082028.1,11300
klebsiella_pneumoniae_KP18-2113,NZ_CP082030.1,105534
citrobacter_freundii_RHBSTW-00162,NZ_CP056809.1,5066049
bacillus_velezensis_19573-3,NZ_CP067043.1,3989728
acinetobacter_sp._Tol-5,NZ_AP024708.1,4681189
acinetobacter_sp._Tol-5,NZ_AP024709.1,117646
streptococcus_agalactiae_Sag27,NZ_CP031556.1,2204538
clostridium_perfringens_310-85,NZ_CP075968.1,2992757
clostridium_perfringens_310-85,NZ_CP075969.1,57317
escherichia_coli_K-12-substr.-MG1655,NZ_CP032679.1,4631519
faecalibacterium_prausnitzii_Indica,NZ_CP023819.1,2868932
alcaligenes_faecalis_FDAARGOS-491,NZ_CP033861.1,4072559
pseudomonas_aeruginosa_FDAARGOS-1041,NZ_CP065966.1,6842419
klebsiella_pneumoniae_KpC11,NZ_CP065831.1,5473527
klebsiella_pneumoniae_KpC11,NZ_CP065832.1,201564
bacillus_pumilus_NCTC10337,NZ_LT906438.1,3855047
citrobacter_freundii_RHBSTW-00486,NZ_CP056466.1,5027289
citrobacter_freundii_RHBSTW-00486,NZ_CP056467.1,53733
citrobacter_freundii_RHBSTW-00486,NZ_CP056468.1,2866
citrobacter_freundii_RHBSTW-00486,NZ_CP056469.1,1908
staphylococcus_aureus_S15,NZ_CP040801.1,2796243
staphylococcus_aureus_S15,NZ_CP040802.1,24545
klebsiella_pneumoniae_INF329-sc-2280137,NZ_LR890240.1,5229940
klebsiella_pneumoniae_INF329-sc-2280137,NZ_LR890241.1,217661
klebsiella_pneumoniae_INF329-sc-2280137,NZ_LR890242.1,3996
klebsiella_pneumoniae_INF329-sc-2280137,NZ_LR890243.1,2646
klebsiella_pneumoniae_INF329-sc-2280137,NZ_LR890244.1,1318
escherichia_coli_NCTC9084,NZ_LR134075.1,4601625
escherichia_coli_SC492,NZ_LR778150.1,4736857
bifidobacterium_pseudocatenulatum_YIT11956,NZ_CP079232.1,2373177
chlamydia_pecorum_E58,NC_015408.1,1105515
bacteroides_fragilis_CCUG4856T,NZ_CP036555.1,5204785
bacteroides_fragilis_CCUG4856T,NZ_CP036556.1,36194
pseudomonas_mendocina_NCTC10897,NZ_LR134290.1,5192318
streptococcus_agalactiae_NCTC13947,NZ_LR134520.1,2094317
escherichia_coli_Z1832,NZ_CP062708.1,5520473
escherichia_coli_Z1832,NZ_CP062709.1,92473
escherichia_coli_Z1832,NZ_CP062710.1,34560
empedobacter_falsenii_1681-1,NZ_CP040908.1,3738654
empedobacter_falsenii_1681-1,NZ_CP040909.1,19446
citrobacter_freundii_MGH281,NZ_CP060662.1,5128083
citrobacter_freundii_MGH281,NZ_CP060663.1,321648
citrobacter_freundii_MGH281,NZ_CP060664.1,84752
citrobacter_freundii_MGH281,NZ_CP060665.1,31791
streptomyces_sp._RLB1-33,NZ_CP050974.1,12126773
pseudomonas_aeruginosa_QZPH16,NZ_CP078004.1,6953932
pseudomonas_aeruginosa_QZPH16,NZ_CP078005.1,64231
pseudomonas_sp._SCB32,NZ_CP045118.1,6310721
mycobacterium_tuberculosis_1458,NZ_CP013475.1,4401430
listeria_monocytogenes_HPB5415,NZ_CP019165.1,3005328
listeria_monocytogenes_HPB5415,NZ_CP019166.1,76954
escherichia_coli_K-12-substr.-BW2952,NC_012759.1,4578135
mycobacterium_tuberculosis_SEA14117P6C4,NZ_CP041797.1,4396769
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890415.1,5357672
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890416.1,242869
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890417.1,71002
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890418.1,4001
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890419.1,2981
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890420.1,2912
klebsiella_pneumoniae_INF313-sc-2280106,NZ_LR890421.1,2341
escherichia_coli_FDAARGOS-1296,NZ_CP070066.1,4875976
escherichia_coli_FDAARGOS-1296,NZ_CP070067.1,122892
escherichia_coli_FDAARGOS-1296,NZ_CP070068.1,1440
pseudomonas_aeruginosa_H5708,NZ_CP008859.2,6334335
helicobacter_pylori_HE134-09,NZ_LT635476.1,1667750
streptococcus_pneumoniae_A66,NZ_LN847353.1,1983415
stenotrophomonas_maltophilia_PEG-42,NZ_CP040435.1,4854547
mycobacterium_tuberculosis_Tokyo-172,NC_012207.1,4371108
staphylococcus_aureus_Tokyo12480,NZ_AP019712.1,2765598
campylobacter_jejuni_R4B202,NZ_CP063357.1,1601768
vibrio_cholerae_FORC-073,NZ_CP024082.1,3030711
vibrio_cholerae_FORC-073,NZ_CP024083.1,994944
staphylococcus_aureus_UP-1559,NZ_CP047779.1,2882751
klebsiella_pneumoniae_UCLAOXA232KP-Pt0,NZ_CP012560.1,5312464
serratia_marcescens_ATCC-13880-substr.-Sm-S96-jyu2015,NZ_CP071200.1,5116638
serratia_marcescens_ATCC-13880-substr.-Sm-S96-jyu2015,NZ_CP071201.1,42869
pseudomonas_putida_KF715,NZ_AP015029.1,6583377
pseudomonas_putida_KF715,NZ_AP015030.1,483376
pseudomonas_putida_KF715,NZ_AP015031.1,275922
pseudomonas_putida_KF715,NZ_AP015032.1,94696
pseudomonas_putida_KF715,NZ_AP015033.1,30071
lactococcus_garvieae_Lg2,NC_017490.1,1963710
bacillus_atrophaeus_CNY01,NZ_CP073265.1,4143892
escherichia_coli_SCU-204,NZ_CP053251.2,5120971
escherichia_coli_SCU-204,NZ_CP054414.1,87310
escherichia_coli_SCU-204,NZ_CP054413.1,85674
escherichia_coli_SCU-204,NZ_CP053254.2,1833
escherichia_coli_SCU-204,NZ_CP053255.2,1086
escherichia_coli_SCU-204,NZ_CP053252.2,46966
escherichia_coli_ATCC-35150,NZ_CP038405.1,5459302
escherichia_coli_ATCC-35150,NZ_CP038406.1,92450
escherichia_coli_ATCC-35150,NZ_CP038407.1,3125
salmonella_enterica_CFSAN076214,NZ_CP033340.1,4668214
salmonella_enterica_CFSAN076214,NZ_CP033341.1,59225
salmonella_enterica_CFSAN076214,NZ_CP033342.1,55585
acinetobacter_baumannii_11A14CRGN003,NZ_CP035183.1,3939979
enterococcus_faecium_LAC7.2,NZ_CP045012.1,2625293
enterococcus_faecium_LAC7.2,NZ_CP045013.1,205206
enterococcus_faecium_LAC7.2,NZ_CP045014.1,79898
stenotrophomonas_maltophilia_PEG-173,NZ_CP040438.1,4769260
klebsiella_pneumoniae_16BU137,NZ_CP051161.1,5268390
salmonella_enterica_S61394,NZ_CP035915.1,4922679
salmonella_enterica_S61394,NZ_CP035916.1,286531
escherichia_coli_RIVM-C018220,NZ_CP068801.1,5343349
bacillus_velezensis_BS-37,NZ_CP023414.1,4013444
clostridium_sp._JN-1,NZ_CP033465.1,2795337
bacillus_thuringiensis_HD1002,NZ_CP009351.1,5490960
bacillus_thuringiensis_HD1002,NZ_CP009349.1,357184
bacillus_thuringiensis_HD1002,NZ_CP009348.1,348892
bacillus_thuringiensis_HD1002,NZ_CP009347.1,233042
bacillus_thuringiensis_HD1002,NZ_CP009350.1,105757
bacillus_thuringiensis_HD1002,NZ_CP009346.1,14578
bacillus_thuringiensis_HD1002,NZ_CP009345.1,7332
bacillus_thuringiensis_HD1002,NZ_CP009344.1,5106
enterobacter_hormaechei_ENCL49790,NZ_CP059422.1,4867097
enterobacter_hormaechei_ENCL49790,NZ_CP059423.1,1140
enterobacter_hormaechei_ENCL49790,NZ_CP059424.1,119528
enterobacter_hormaechei_ENCL49790,NZ_CP059425.1,301980
enterobacter_hormaechei_ENCL49790,NZ_CP059426.1,54769
macrococcus_caseolyticus_19Msa0287,NZ_CP079950.1,2265967
macrococcus_caseolyticus_19Msa0287,NZ_CP079951.1,29987
macrococcus_caseolyticus_19Msa0287,NZ_CP079952.1,19225
macrococcus_caseolyticus_19Msa0287,NZ_CP079953.1,5012
macrococcus_caseolyticus_19Msa0287,NZ_CP079954.1,4682
campylobacter_coli_FDAARGOS-1028,NZ_CP066027.1,1683484
campylobacter_coli_FDAARGOS-1028,NZ_CP066028.1,181872
campylobacter_coli_FDAARGOS-1028,NZ_CP066029.1,3238
campylobacter_coli_FDAARGOS-1028,NZ_CP066030.1,4219
campylobacter_coli_FDAARGOS-1028,NZ_CP066031.1,417
pseudomonas_aeruginosa_NCTC12903,NZ_LR134309.1,6839454
escherichia_coli_M15,NZ_CP010213.1,5094746
escherichia_coli_M15,NZ_CP010214.1,146477
escherichia_coli_M15,NZ_CP010215.1,57035
escherichia_coli_M15,NZ_CP010216.1,5987
escherichia_coli_M15,NZ_CP010217.1,5907
escherichia_coli_M15,NZ_CP010218.1,5140
salmonella_enterica_CP255,NZ_CP063705.1,4736540
salmonella_enterica_CP255,NZ_CP063706.1,95288
salmonella_enterica_CP255,NZ_CP063707.1,8654
escherichia_coli_MRSN346595,NZ_CP018109.1,4796397
escherichia_coli_MRSN346595,NZ_CP018110.1,119379
escherichia_coli_MRSN346595,NZ_CP018114.1,5070
escherichia_coli_MRSN346595,NZ_CP018113.1,61879
escherichia_coli_MRSN346595,NZ_CP018112.1,63407
escherichia_coli_MRSN346595,NZ_CP018111.1,67437
streptococcus_pneumoniae_NCTC12977,NZ_LR134294.1,2115114
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084044.1,5378554
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084045.1,114009
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084054.1,1153
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084046.1,8140
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084047.1,5766
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084048.1,3329
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084049.1,2083
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084050.1,3046
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084051.1,2527
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084052.1,2784
klebsiella_pneumoniae_WRC12-S471M,NZ_CP084053.1,2534
staphylococcus_aureus_FDAARGOS-1086,NZ_CP068143.1,2755337
staphylococcus_aureus_FDAARGOS-1086,NZ_CP068144.1,19026
bacillus_sp._RZ2MS9,NZ_CP049978.1,5356630
acinetobacter_baumannii_MRSN-56,NZ_CP080452.1,4032674
acinetobacter_baumannii_MRSN-56,NZ_CP080453.1,996
acinetobacter_baumannii_MRSN-56,NZ_CP080454.1,2641
acinetobacter_baumannii_MRSN-56,NZ_CP080455.1,6765
acinetobacter_baumannii_MRSN-56,NZ_CP080456.1,7660
enterococcus_mundtii_QU25,NC_022878.1,3021647
enterococcus_mundtii_QU25,NC_022881.1,1184
enterococcus_mundtii_QU25,NC_022884.1,23330
enterococcus_mundtii_QU25,NC_022880.1,38348
enterococcus_mundtii_QU25,NC_022883.1,82192
enterococcus_mundtii_QU25,NC_022879.1,181894
enterococcus_faecium_E1334,NZ_LR134095.1,2520462
enterococcus_faecium_E1334,NZ_LR134096.1,124109
enterococcus_faecium_E1334,NZ_LR134097.1,32824
klebsiella_pneumoniae_JX-CR-hvKP-1,NZ_CP064252.1,5484220
klebsiella_pneumoniae_JX-CR-hvKP-1,NZ_CP064253.1,167557
klebsiella_pneumoniae_JX-CR-hvKP-1,NZ_CP064254.1,102355
klebsiella_pneumoniae_JX-CR-hvKP-1,NZ_CP064255.1,54478
klebsiella_pneumoniae_JX-CR-hvKP-1,NZ_CP064256.1,11326
klebsiella_pneumoniae_JX-CR-hvKP-1,NZ_CP064257.1,5327
bacillus_anthracis_FDAARGOS-701,NZ_CP047098.1,5226882
bifidobacterium_longum_Jih1,NZ_AP022868.1,2370889
enterobacter_sp._SA187,NZ_CP019113.1,4429325
escherichia_coli_FDAARGOS-1370,NZ_CP070098.1,5222229
escherichia_coli_FDAARGOS-1370,NZ_CP070097.1,103944
escherichia_coli_FDAARGOS-1370,NZ_CP070095.1,4171
escherichia_coli_FDAARGOS-1370,NZ_CP070096.1,4828
escherichia_coli_FDAARGOS-1370,NZ_CP070100.1,2533
escherichia_coli_FDAARGOS-1370,NZ_CP070099.1,433
escherichia_coli_Z1812,NZ_CP062727.1,5513623
escherichia_coli_Z1812,NZ_CP062728.1,92453
bacillus_amyloliquefaciens_ALB79,NZ_CP029071.1,3982695
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010577.1,5652292
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010583.1,3857
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010582.1,51710
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010581.1,68291
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010580.1,76915
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010579.1,92520
bacillus_thuringiensis_BGSC-4AA1,NZ_CP010578.1,231252
